,video_title,video_like,video_forward,video_comment,video_user,video_fans,video_whole_like,video_comment_male_rate,video_url,video_comment_female_rate,goods_name,goods_price,goods_money_rate,goods_whole_sale,goods_month_sale,goods_thirty_days_transfer_rate,goods_thirty_days_video_num,goods_thirty_days_recommend_person_num,bgm
131,不做普通人，私人定制专属你的打火机#dou热门➕小助热门 #好物推荐 #送男朋友礼物 #我要上热门,24,0,1,小姐姐爱上打火机💕,"4,201",1.9w,男 %,https://www.iesdouyin.com/share/video/6851504828808580360/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
132,不做普通人，可以定制专属你的百家姓，全自动咽盒#dou热门➕小助热门 #好物推荐 #送男朋友礼物,2,0,0,小姐姐爱上打火机💕,"4,201",1.9w,男 %,https://www.iesdouyin.com/share/video/6851014838299249928/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
133,不做普通人，私人定制专属你的打火机#dou热门➕小助热门 #我要上热门 #好物推荐 #送男朋友礼物,99,4,7,小姐姐爱上打火机💕,"4,201",1.9w,男 83.33%,https://www.iesdouyin.com/share/video/6851385370580471048/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,16.67% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
134,可以定制百家姓和艺术签，你喜欢我安排，定制专属你的打火机#dou热门➕小助热门 #好物推荐 @抖音小助手,5,0,0,小姐姐爱上打火机💕,"4,201",1.9w,男 %,https://www.iesdouyin.com/share/video/6851981556064488711/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
135,一见倾心，始于颜值，定制专属你的打火机#dou热门➕小助热门 #送男朋友礼物 #好物推荐 @抖音小助手,42,0,2,小姐姐爱上打火机💕,"4,201",1.9w,男 %,https://www.iesdouyin.com/share/video/6851763249944349959/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
136,不做普通人，可以定制百家姓和艺术签，你喜欢我安排#我要上热门 #是时候放大招了 #好物推荐@抖音小助手,41,0,9,火机小妹💕,"7,594",1.7w,男 %,https://www.iesdouyin.com/share/video/6851831058485333255/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
137,可以定制百家姓和艺术签，全自动咽盒定制专属你的打火机#是时候放大招了 #我要上热门 #好物推荐 @抖音小助手,31,5,1,火机小妹💕,"7,594",1.7w,男 %,https://www.iesdouyin.com/share/video/6851831809047579912/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
138,不做普通人，定制专属你的打火机#dou热门➕小助热门 #好物推荐 #送男朋友礼物 #是时候放大招了,111,1,4,小姐姐爱上打火机💕,"4,201",1.9w,男 100.00%,https://www.iesdouyin.com/share/video/6851154746309446926/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,0.00% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
139,全自动yan盒可以定制百家姓和艺术签，你喜欢我安排#dou热门➕小助热门 #是时候放大招了 #好物推荐,29,3,1,小姐姐爱上打火机💕,"4,201",1.9w,男 %,https://www.iesdouyin.com/share/video/6851871545145429255/?region=CN&mid=6737091476045449995&u_code=0&titleType=title,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
140,私人定制专属 你喜欢我安排，不做普通人，支持私人订制百家姓个性签名，全自动咽盒打火机2⃣️合1#热门 #热门,5,1,0,分享好物💕,2.5w,1.6w,男 %,,% 女,定制创意礼品,¥25.00,1.00%,"6,786","4,995",2.48%,26,26,孤芳自赏 (改编版) - 网络歌手
